Date,Description,Reference,Debit,Credit
2023-11-15,Deposit - Office Depot,LED-NM-3012,905.93,0.0
2023-11-15,Deposit - TRAVEL EXPENSES,LED-2046,3490.44,0.0
2023-11-18,Deposit - CONSULTING SERVICES,LED-2049,8376.07,0.0
2023-11-18,Payment - ELECTRIC COMPANY,LED-2047,0.0,3125.57
2023-11-18,Payment - MARKETING SOLUTIONS,LED-2048,0.0,2415.83
2023-11-21,Payment - PROPERTY MGMT CO,LED-2050,0.0,995.84
2023-11-21,Payment - ABC CORP PAYMENT,LED-2052,0.0,3273.29
2023-11-24,Payment - TRAINING CO,LED-2053,0.0,546.75
2023-11-26,Payment - INSURANCE CO,LED-2054,0.0,2221.72
2023-11-26,Deposit - Travel Agency,LED-NM-3020,702.83,0.0
2023-11-27,Deposit - WEB SERVICES INC,LED-2057,2853.92,0.0
2023-11-28,Deposit - Consulting Partners,LED-NM-3008,853.26,0.0
2023-11-28,Payment - Catering Co,LED-NM-3026,0.0,870.33
2023-11-28,Payment - MARKETING SOLUTIONS,LED-2059,0.0,1029.23
2023-11-30,Payment - WEB SERVICES INC,LED-2062,0.0,954.32
2023-11-30,Payment - INSURANCE CO,LED-2058,0.0,1780.5
2023-12-01,Payment - OFFICE SUPPLIES INC,LED-2063,0.0,329.89
2023-12-02,Deposit - ABC CORP PAYMENT,LED-2060,5377.12,0.0
2023-12-03,Payment - SOFTWARE SUBSCRIPTION,LED-2061,0.0,78.4
2023-12-04,Payment - CONSULTING SERVICES,LED-2067,0.0,802.12
2023-12-06,Payment - Consulting Partners,LED-NM-3002,0.0,716.08
2023-12-06,Deposit - Catering Co,LED-NM-3035,1196.56,0.0
2023-12-07,Deposit - MARKETING SOLUTIONS,LED-2065,8432.53,0.0
2023-12-08,Deposit - SOFTWARE SUBSCRIPTION,LED-2064,4471.65,0.0
2023-12-08,Payment - TRAVEL EXPENSES,LED-2066,0.0,1001.56
2023-12-09,Payment - ABC CORP PAYMENT,LED-2068,0.0,1449.48
2023-12-10,Payment - OFFICE SUPPLIES INC,LED-2071,0.0,1390.25
2023-12-11,Deposit - PROPERTY MGMT CO,LED-2072,1885.99,0.0
2023-12-12,Payment - TECH STORE,LED-2069,0.0,2929.85
2023-12-14,Payment - ABC CORP PAYMENT,LED-2075,0.0,3106.73
2023-12-14,Payment - INSURANCE CO,LED-2070,0.0,2602.41
2023-12-15,Deposit - MARKETING SOLUTIONS,LED-2076,5938.88,0.0
2023-12-15,Payment - MARKETING SOLUTIONS,LED-2073,0.0,1716.43
2023-12-15,Deposit - Training Co,LED-NM-3031,682.48,0.0
2023-12-16,Payment - TRAINING CO,LED-2078,0.0,706.93
2023-12-16,Payment - XYZ LTD,LED-2074,0.0,3504.22
2023-12-19,Deposit - Catering Co,LED-NM-3001,1009.57,0.0
2023-12-20,Payment - CONSULTING SERVICES,LED-2079,0.0,3465.37
2023-12-22,Payment - SOFTWARE SUBSCRIPTION,LED-2085,0.0,2337.76
2023-12-22,Deposit - Catering Co,LED-NM-3017,1161.18,0.0
2023-12-22,Deposit - OFFICE SUPPLIES INC,LED-2080,218.97,0.0
2023-12-24,Deposit - MARKETING SOLUTIONS,LED-2086,2959.72,0.0
2023-12-24,Deposit - CONSULTING SERVICES,LED-2082,6330.01,0.0
2023-12-25,Deposit - TECH STORE,LED-2081,7099.82,0.0
2023-12-25,Payment - OFFICE SUPPLIES INC,LED-2087,0.0,2036.26
2023-12-26,Payment - WEB SERVICES INC,LED-2084,0.0,800.1
2023-12-28,Payment - Office Depot,LED-NM-3004,0.0,457.88
2023-12-29,Payment - PROPERTY MGMT CO,LED-2088,0.0,274.67
2023-12-30,Deposit - TECH STORE,LED-2091,8034.53,0.0
2023-12-30,Payment - WEB SERVICES INC,LED-2083,0.0,2245.28
2023-12-30,Deposit - TRAVEL EXPENSES,LED-2090,7784.01,0.0
2023-12-30,Payment - SOFTWARE SUBSCRIPTION,LED-2092,0.0,206.98
2024-01-03,Deposit - Insurance Co,LED-NM-3010,379.78,0.0
2024-01-04,Payment - ABC CORP PAYMENT,LED-2093,0.0,2355.51
2024-01-04,Deposit - TECH STORE,LED-2096,5880.41,0.0
2024-01-06,Deposit - RENT PAYMENT,LED-2102,4056.02,0.0
2024-01-06,Deposit - CONSULTING SERVICES,LED-2097,6816.41,0.0
2024-01-07,Payment - SOFTWARE SUBSCRIPTION,LED-2100,0.0,648.68
2024-01-08,Payment - TRAVEL EXPENSES,LED-2099,0.0,339.38
2024-01-08,Payment - RENT PAYMENT,LED-2101,0.0,3523.12
2024-01-10,Payment - Office Depot,LED-NM-3028,0.0,687.63
2024-01-11,Deposit - ABC CORP PAYMENT,LED-2098,5666.2,0.0
2024-01-11,Payment - TRAINING CO,LED-2104,0.0,80.9
2024-01-12,Payment - MARKETING SOLUTIONS,LED-2103,0.0,2466.13
2024-01-14,Payment - ABC CORP PAYMENT,LED-2106,0.0,580.45
2024-01-14,Deposit - Local Printing,LED-NM-3030,602.29,0.0
2024-01-14,Payment - PROPERTY MGMT CO,LED-2105,0.0,3730.44
2024-01-16,Payment - ABC CORP PAYMENT,LED-2107,0.0,2982.55
2024-01-17,Deposit - Training Co,LED-NM-3025,850.54,0.0
2024-01-17,Payment - TECH STORE,LED-2115,0.0,491.9
2024-01-18,Deposit - ELECTRIC COMPANY,LED-2108,5522.5,0.0
2024-01-18,Deposit - PROPERTY MGMT CO,LED-2110,4499.08,0.0
2024-01-19,Deposit - Travel Agency,LED-NM-3032,754.18,0.0
2024-01-19,Deposit - WEB SERVICES INC,LED-2109,6249.97,0.0
2024-01-19,Deposit - PROPERTY MGMT CO,LED-2112,231.2,0.0
2024-01-19,Deposit - PROPERTY MGMT CO,LED-2111,5659.91,0.0
2024-01-21,Deposit - TRAINING CO,LED-2113,8822.22,0.0
2024-01-24,Payment - WEB SERVICES INC,LED-2116,0.0,2457.4
2024-01-25,Payment - ELECTRIC COMPANY,LED-2114,0.0,2229.14
2024-01-26,Payment - PROPERTY MGMT CO,LED-2117,0.0,2232.47
2024-01-26,Deposit - TECH STORE,LED-2118,2708.9,0.0
2024-01-26,Payment - TRAINING CO,LED-2119,0.0,207.58
2024-01-29,Payment - ABC CORP PAYMENT,LED-2121,0.0,2261.54
2024-01-29,Payment - INSURANCE CO,LED-2127,0.0,3252.46
2024-01-30,Payment - ELECTRIC COMPANY,LED-2123,0.0,985.11
2024-01-30,Payment - PROPERTY MGMT CO,LED-2122,0.0,2501.61
2024-01-30,Deposit - RENT PAYMENT,LED-2120,2395.86,0.0
2024-02-04,Payment - RENT PAYMENT,LED-2126,0.0,1897.15
2024-02-05,Deposit - TECH STORE,LED-2125,6681.77,0.0
2024-02-06,Deposit - Consulting Partners,LED-NM-3009,672.29,0.0
2024-02-07,Payment - TECH STORE,LED-2129,0.0,3441.44
2024-02-08,Deposit - XYZ LTD,LED-2128,6371.25,0.0
2024-02-10,Deposit - SOFTWARE SUBSCRIPTION,LED-2130,8282.38,0.0
2024-02-10,Deposit - TRAINING CO,LED-2134,5845.04,0.0
2024-02-10,Deposit - Travel Agency,LED-NM-3005,656.21,0.0
2024-02-11,Deposit - RENT PAYMENT,LED-2131,7199.04,0.0
2024-02-11,Deposit - SOFTWARE SUBSCRIPTION,LED-2132,6008.29,0.0
2024-02-11,Payment - TECH STORE,LED-2135,0.0,3382.46
2024-02-13,Deposit - TECH STORE,LED-2133,7806.31,0.0
2024-02-15,Payment - RENT PAYMENT,LED-2136,0.0,505.6
2024-02-15,Deposit - XYZ LTD,LED-2137,8670.3,0.0
2024-02-15,Deposit - XYZ LTD,LED-2138,5449.83,0.0
2024-02-16,Deposit - Catering Co,LED-NM-3034,933.5,0.0
2024-02-17,Deposit - TRAVEL EXPENSES,LED-2141,590.6,0.0
2024-02-18,Payment - RENT PAYMENT,LED-2139,0.0,1289.03
2024-02-18,Payment - TRAVEL EXPENSES,LED-2140,0.0,506.8
2024-02-18,Deposit - Catering Co,LED-NM-3015,859.59,0.0
2024-02-21,Payment - WEB SERVICES INC,LED-2144,0.0,1488.67
2024-02-21,Deposit - TECH STORE,LED-2142,8345.06,0.0
2024-02-22,Payment - MARKETING SOLUTIONS,LED-2143,0.0,3764.04
2024-02-23,Deposit - TRAVEL EXPENSES,LED-2146,7662.53,0.0
2024-02-24,Payment - WEB SERVICES INC,LED-2147,0.0,2053.13
2024-02-25,Payment - XYZ LTD,LED-2149,0.0,807.77
2024-02-25,Payment - INSURANCE CO,LED-2148,0.0,1639.48
2024-02-25,Payment - ABC CORP PAYMENT,LED-2145,0.0,3687.04
2024-02-27,Payment - MARKETING SOLUTIONS,LED-2152,0.0,1250.31
2024-03-01,Payment - INSURANCE CO,LED-2150,0.0,2725.41
2024-03-02,Payment - Insurance Co,LED-NM-3022,0.0,418.55
2024-03-04,Payment - TRAINING CO,LED-2156,0.0,2652.46
2024-03-04,Payment - SOFTWARE SUBSCRIPTION,LED-2153,0.0,2340.94
2024-03-05,Deposit - INSURANCE CO,LED-2154,4087.72,0.0
2024-03-06,Payment - ELECTRIC COMPANY,LED-2151,0.0,1238.75
2024-03-08,Payment - XYZ LTD,LED-2157,0.0,2410.35
2024-03-09,Payment - SOFTWARE SUBSCRIPTION,LED-2159,0.0,923.29
2024-03-09,Deposit - SOFTWARE SUBSCRIPTION,LED-2160,655.06,0.0
2024-03-09,Payment - CONSULTING SERVICES,LED-2161,0.0,3085.53
2024-03-11,Payment - CONSULTING SERVICES,LED-2162,0.0,2537.57
2024-03-12,Payment - SOFTWARE SUBSCRIPTION,LED-2163,0.0,1566.71
2024-03-13,Payment - ABC CORP PAYMENT,LED-2166,0.0,914.42
2024-03-13,Deposit - Office Depot,LED-NM-3000,946.47,0.0
2024-03-14,Deposit - RENT PAYMENT,LED-2158,8577.6,0.0
2024-03-16,Payment - ABC CORP PAYMENT,LED-2169,0.0,3215.6
2024-03-17,Payment - TRAINING CO,LED-2167,0.0,2095.93
2024-03-17,Deposit - TECH STORE,LED-2164,5973.31,0.0
2024-03-19,Deposit - Office Depot,LED-NM-3007,579.2,0.0
2024-03-20,Payment - OFFICE SUPPLIES INC,LED-2165,0.0,3448.74
2024-03-20,Payment - INSURANCE CO,LED-2170,0.0,2242.16
2024-03-21,Payment - RENT PAYMENT,LED-2171,0.0,3571.13
2024-03-22,Payment - TECH STORE,LED-2173,0.0,2214.09
2024-03-23,Payment - TRAVEL EXPENSES,LED-2172,0.0,3573.48
2024-03-24,Payment - ELECTRIC COMPANY,LED-2174,0.0,1924.96
2024-03-24,Payment - XYZ LTD,LED-2176,0.0,2413.3
2024-03-25,Payment - XYZ LTD,LED-2175,0.0,3367.46
2024-03-27,Deposit - INSURANCE CO,LED-2177,4070.88,0.0
2024-03-28,Deposit - WEB SERVICES INC,LED-2178,2591.09,0.0
2024-03-29,Deposit - Office Depot,LED-NM-3033,735.51,0.0
2024-03-29,Deposit - ELECTRIC COMPANY,LED-2180,6306.76,0.0
2024-03-29,Payment - Web Services Inc,LED-NM-3011,0.0,429.99
2024-03-31,Payment - TRAINING CO,LED-2184,0.0,2797.32
2024-04-02,Payment - RENT PAYMENT,LED-2179,0.0,368.28
2024-04-02,Payment - RENT PAYMENT,LED-2182,0.0,1692.31
2024-04-02,Payment - PROPERTY MGMT CO,LED-2185,0.0,2560.49
2024-04-04,Payment - TRAINING CO,LED-2187,0.0,3571.98
2024-04-05,Deposit - WEB SERVICES INC,LED-2181,3850.84,0.0
2024-04-05,Deposit - MARKETING SOLUTIONS,LED-2194,3667.38,0.0
2024-04-05,Payment - Catering Co,LED-NM-3006,0.0,624.65
2024-04-05,Payment - PROPERTY MGMT CO,LED-2188,0.0,3098.08
2024-04-05,Deposit - CONSULTING SERVICES,LED-2186,3295.48,0.0
2024-04-09,Payment - TRAINING CO,LED-2192,0.0,701.93
2024-04-09,Deposit - Insurance Co,LED-NM-3023,778.7,0.0
2024-04-10,Payment - CONSULTING SERVICES,LED-2193,0.0,3923.85
2024-04-10,Payment - OFFICE SUPPLIES INC,LED-2191,0.0,2692.05
2024-04-12,Payment - MARKETING SOLUTIONS,LED-2189,0.0,3596.35
2024-04-13,Deposit - OFFICE SUPPLIES INC,LED-2197,3019.26,0.0
2024-04-14,Deposit - TECH STORE,LED-2196,4262.95,0.0
2024-04-14,Payment - TRAVEL EXPENSES,LED-2195,0.0,381.59
2024-04-17,Deposit - CONSULTING SERVICES,LED-2198,6898.82,0.0
2024-04-19,Deposit - TECH STORE,LED-2199,8570.6,0.0
2024-04-22,Payment - Office Depot,LED-NM-3021,0.0,502.93
