Date,Description,Reference,Withdrawal,Deposit
2023-12-05,MARKETING SOLUTIONS,DEP1065,0.0,8432.53
2023-12-06,TRAVEL EXPENSES,CHK1066,1009.84,0.0
2023-12-07,CONSULTING SERVICES,CHK1067,802.12,0.0
2023-12-08,ABC CORP PAYMENT,CHK1068,1449.48,0.0
2023-12-09,TECH STORE,CHK1069,2929.85,0.0
2023-12-10,INSURANCE CO,CHK1070,2602.41,0.0
2023-12-11,OFFICE SUPPLIES INC,CHK1071,1390.25,0.0
2023-12-12,PROPERTY MGMT CO,DEP1072,0.0,1885.99
2023-12-13,MARKETING SOLUTIONS,CHK1073,1716.43,0.0
2023-12-14,XYZ LTD,CHK1074,3504.22,0.0
2023-12-15,ABC CORP PAYMENT,CHK1075,3452.33,0.0
2023-12-16,MARKETING SOLUTIONS,DEP1076,0.0,5938.88
2023-12-17,MARKETING SOLUTIONS,CHK1077,3877.54,0.0
2023-12-18,TRAINING CO,CHK1078,706.93,0.0
2023-12-19,CONSULTING SERVICES,CHK1079,3465.37,0.0
2023-12-20,OFFICE SUPPLIES INC,DEP1080,0.0,218.97
2023-12-21,TECH STORE,DEP1081,0.0,7099.82
2023-12-22,CONSULTING SERVICES,DEP1082,0.0,6330.01
2023-12-23,WEB SERVICES INC,CHK1083,2245.28,0.0
2023-12-24,WEB SERVICES INC,CHK1084,800.1,0.0
2023-12-25,SOFTWARE SUBSCRIPTION,CHK1085,2337.76,0.0
2023-12-26,MARKETING SOLUTIONS,DEP1086,0.0,2959.72
2023-12-27,OFFICE SUPPLIES INC,CHK1087,2036.26,0.0
2023-12-28,PROPERTY MGMT CO,CHK1088,274.67,0.0
2023-12-29,MARKETING SOLUTIONS,DEP1089,0.0,1835.26
2023-12-30,TRAVEL EXPENSES,DEP1090,0.0,7784.01
2023-12-31,TECH STORE,DEP1091,0.0,8034.53
2024-01-01,SOFTWARE SUBSCRIPTION,CHK1092,206.98,0.0
2024-01-02,ABC CORP PAYMENT,CHK1093,2355.51,0.0
2024-01-03,MARKETING SOLUTIONS,DEP1094,0.0,2494.74
2024-01-04,INSURANCE CO,CHK1095,992.81,0.0
2024-01-05,TECH STORE,DEP1096,0.0,5880.41
2024-01-06,CONSULTING SERVICES,DEP1097,0.0,6816.41
2024-01-07,ABC CORP PAYMENT,DEP1098,0.0,5666.2
2024-01-08,TRAVEL EXPENSES,CHK1099,339.38,0.0
2024-01-09,SOFTWARE SUBSCRIPTION,CHK1100,573.2,0.0
2024-01-10,RENT PAYMENT,CHK1101,3523.12,0.0
2024-01-11,RENT PAYMENT,DEP1102,0.0,4056.02
2024-01-12,MARKETING SOLUTIONS,CHK1103,2466.13,0.0
2024-01-13,TRAINING CO,CHK1104,80.9,0.0
2024-01-14,PROPERTY MGMT CO,CHK1105,3730.44,0.0
2024-01-15,ABC CORP PAYMENT,CHK1106,580.45,0.0
2024-01-16,ABC CORP PAYMENT,CHK1107,2982.55,0.0
2024-01-17,ELECTRIC COMPANY,DEP1108,0.0,5522.5
2024-01-18,WEB SERVICES INC,DEP1109,0.0,6249.97
2024-01-19,PROPERTY MGMT CO,DEP1110,0.0,4499.08
2024-01-20,PROPERTY MGMT CO,DEP1111,0.0,5781.7
2024-01-21,PROPERTY MGMT CO,DEP1112,0.0,231.2
2024-01-22,TRAINING CO,DEP1113,0.0,8822.22
2024-01-23,ELECTRIC COMPANY,CHK1114,2229.14,0.0
2024-01-24,TECH STORE,CHK1115,491.9,0.0
2024-01-25,WEB SERVICES INC,CHK1116,2205.08,0.0
2024-01-26,PROPERTY MGMT CO,CHK1117,2232.47,0.0
2024-01-27,TECH STORE,DEP1118,0.0,2912.67
2024-01-28,TRAINING CO,CHK1119,207.58,0.0
2024-01-29,RENT PAYMENT,DEP1120,0.0,2395.86
2024-01-30,ABC CORP PAYMENT,CHK1121,2261.54,0.0
2024-01-31,PROPERTY MGMT CO,CHK1122,2501.61,0.0
2024-02-01,ELECTRIC COMPANY,CHK1123,985.11,0.0
2024-02-02,ELECTRIC COMPANY,CHK1124,3252.55,0.0
2024-02-03,TECH STORE,DEP1125,0.0,6681.77
2024-02-04,RENT PAYMENT,CHK1126,1676.27,0.0
2024-02-05,INSURANCE CO,CHK1127,3252.46,0.0
2024-02-06,XYZ LTD,DEP1128,0.0,6371.25
2024-02-07,TECH STORE,CHK1129,3441.44,0.0
2024-02-08,SOFTWARE SUBSCRIPTION,DEP1130,0.0,8282.38
2024-02-09,RENT PAYMENT,DEP1131,0.0,7199.04
2024-02-10,SOFTWARE SUBSCRIPTION,DEP1132,0.0,6008.29
2024-02-11,TECH STORE,DEP1133,0.0,7806.31
2024-02-12,TRAINING CO,DEP1134,0.0,5845.04
2024-02-13,TECH STORE,CHK1135,3382.46,0.0
2024-02-14,RENT PAYMENT,CHK1136,505.6,0.0
2024-02-15,XYZ LTD,DEP1137,0.0,8670.3
2024-02-16,XYZ LTD,DEP1138,0.0,5449.83
2024-02-17,RENT PAYMENT,CHK1139,1289.03,0.0
2024-02-18,TRAVEL EXPENSES,CHK1140,506.8,0.0
2024-02-19,TRAVEL EXPENSES,DEP1141,0.0,590.6
2024-02-20,TECH STORE,DEP1142,0.0,8345.06
2024-02-21,MARKETING SOLUTIONS,CHK1143,3764.04,0.0
2024-02-22,WEB SERVICES INC,CHK1144,1488.67,0.0
2024-02-23,ABC CORP PAYMENT,CHK1145,3687.04,0.0
2024-02-24,TRAVEL EXPENSES,DEP1146,0.0,7662.53
2024-02-25,WEB SERVICES INC,CHK1147,2053.13,0.0
2024-02-26,INSURANCE CO,CHK1148,1639.48,0.0
2024-02-27,XYZ LTD,CHK1149,807.77,0.0
2024-02-28,INSURANCE CO,CHK1150,2725.41,0.0
2024-02-29,ELECTRIC COMPANY,CHK1151,1238.75,0.0
2024-03-01,MARKETING SOLUTIONS,CHK1152,1250.31,0.0
2024-03-02,SOFTWARE SUBSCRIPTION,CHK1153,2340.94,0.0
2024-03-03,INSURANCE CO,DEP1154,0.0,4087.72
2024-03-04,INSURANCE CO,DEP1155,0.0,4364.04
2024-03-05,TRAINING CO,CHK1156,2652.46,0.0
2024-03-06,XYZ LTD,CHK1157,2550.12,0.0
2024-03-07,RENT PAYMENT,DEP1158,0.0,8577.6
2024-03-08,SOFTWARE SUBSCRIPTION,CHK1159,937.33,0.0
2024-03-09,SOFTWARE SUBSCRIPTION,DEP1160,0.0,606.68
2024-03-10,CONSULTING SERVICES,CHK1161,3085.53,0.0
2024-03-11,CONSULTING SERVICES,CHK1162,2537.57,0.0
2024-03-12,SOFTWARE SUBSCRIPTION,CHK1163,1566.71,0.0
2024-03-13,TECH STORE,DEP1164,0.0,5973.31
2024-03-14,OFFICE SUPPLIES INC,CHK1165,3448.74,0.0
2024-03-15,ABC CORP PAYMENT,CHK1166,914.42,0.0
2024-03-16,TRAINING CO,CHK1167,2095.93,0.0
2024-03-17,OFFICE SUPPLIES INC,CHK1168,3674.01,0.0
2024-03-18,ABC CORP PAYMENT,CHK1169,3215.6,0.0
2024-03-19,INSURANCE CO,CHK1170,2257.75,0.0
2024-03-20,RENT PAYMENT,CHK1171,3571.13,0.0
2024-03-21,TRAVEL EXPENSES,CHK1172,3573.48,0.0
2024-03-22,TECH STORE,CHK1173,2214.09,0.0
2024-03-23,ELECTRIC COMPANY,CHK1174,1924.96,0.0
2024-03-24,XYZ LTD,CHK1175,3367.46,0.0
2024-03-25,XYZ LTD,CHK1176,2109.13,0.0
2024-03-26,INSURANCE CO,DEP1177,0.0,4070.88
2024-03-27,WEB SERVICES INC,DEP1178,0.0,2591.09
2024-03-28,RENT PAYMENT,CHK1179,368.28,0.0
2024-03-29,ELECTRIC COMPANY,DEP1180,0.0,6306.76
2024-03-30,WEB SERVICES INC,DEP1181,0.0,3850.84
2024-03-31,RENT PAYMENT,CHK1182,1692.31,0.0
2024-04-01,SOFTWARE SUBSCRIPTION,CHK1183,1588.43,0.0
2024-04-02,TRAINING CO,CHK1184,2797.32,0.0
2024-04-03,PROPERTY MGMT CO,CHK1185,2323.98,0.0
2024-04-04,CONSULTING SERVICES,DEP1186,0.0,3295.48
2024-04-05,TRAINING CO,CHK1187,3571.98,0.0
2024-04-06,PROPERTY MGMT CO,CHK1188,3002.69,0.0
2024-04-07,MARKETING SOLUTIONS,CHK1189,3596.35,0.0
2024-04-08,CONSULTING SERVICES,DEP1190,0.0,4035.36
2024-04-09,OFFICE SUPPLIES INC,CHK1191,2692.05,0.0
2024-04-10,TRAINING CO,CHK1192,701.93,0.0
2024-04-11,CONSULTING SERVICES,CHK1193,3923.85,0.0
2024-04-12,MARKETING SOLUTIONS,DEP1194,0.0,3667.38
2024-04-13,TRAVEL EXPENSES,CHK1195,381.59,0.0
2024-04-14,TECH STORE,DEP1196,0.0,4262.95
2024-04-15,OFFICE SUPPLIES INC,DEP1197,0.0,3080.7
2024-04-16,CONSULTING SERVICES,DEP1198,0.0,6898.82
2024-04-17,TECH STORE,DEP1199,0.0,8570.6
